Breed,Color,Gender,Age,AdoptionLikelihood
Labrador Retriever Mix,Buff/Tan,Spayed Female,0,1
Pit Bull Mix,Black/Brown,Spayed Female,0,1
Rottweiler/German Shepherd,Black/Tan,Neutered Male,1,1
Doberman Pinsch Mix,Black/Brown,Neutered Male,0,0
Pit Bull Mix,White/Cream,Spayed Female,0,1
Chihuahua Shorthair Mix,Tricolor,Spayed Female,9,0
Basset Hound,Tricolor,Spayed Female,7,1
Chihuahua Shorthair Mix,Black/Brown,Spayed Female,1,0
Newfoundland/Labrador Retriever,Black/White,Spayed Female,0,0
Belgian Malinois,Tan/Black,Neutered Male,0,1
Beagle/Chinese Sharpei,Tan,Spayed Female,0,1
Toy Poodle Mix,White,Neutered Male,4,1
Great Pyrenees,White/Tan,Neutered Male,0,1
Pit Bull Mix,Chocolate/White,Spayed Female,2,1
Labrador Retriever/Boxer,Black/White,Neutered Male,1,1
Pointer Mix,White/Black,Spayed Female,0,1
Labrador Retriever/Boxer,Tan/White,Neutered Male,0,1
Rat Terrier Mix,Brown Brindle/White,Spayed Female,0,1
Australian Shepherd Mix,Brown/Black,Spayed Female,0,1
Miniature Schnauzer Mix,White,Intact Male,2,0
Labrador Retriever/Australian Cattle Dog,White/Blue,Intact Female,0,0
Newfoundland Mix,Black,Spayed Female,0,1
Pit Bull Mix,Black/White,Spayed Female,0,0
Pit Bull Mix,Blue/White,Neutered Male,2,0
Miniature Poodle Mix,White,Neutered Male,13,0
Australian Cattle Dog,Black/White,Spayed Female,0,1
Miniature Schnauzer/Miniature Poodle,Cream,Spayed Female,3,0
Pit Bull Mix,Brown Brindle,Spayed Female,2,1
Pit Bull Mix,Gray,Spayed Female,1,1
Chihuahua Shorthair Mix,Brown/White,Spayed Female,5,1
Pit Bull Mix,Brown/Black,Spayed Female,1,1
Border Collie,Black/White,Intact Male,1,0
Chihuahua Shorthair Mix,Cream,Neutered Male,0,1
Chihuahua Shorthair Mix,Brown,Neutered Male,2,1
Labrador Retriever/Siberian Husky,Cream,Spayed Female,2,1
Pembroke Welsh Corgi Mix,Red/White,Spayed Female,1,1
Irish Wolfhound Mix,Black/White,Neutered Male,2,0
Chihuahua Shorthair Mix,White/Brown,Intact Male,1,0
Pit Bull,Black/White,Spayed Female,4,1
Dalmatian Mix,White/Black,Neutered Male,1,1
Bluetick Hound Mix,Blue Tick/Tan,Neutered Male,2,1
English Coonhound/German Shepherd,Black/Tan,Neutered Male,4,1
Pit Bull Mix,Tan,Neutered Male,3,0
Anatol Shepherd Mix,Tan/White,Intact Female,0,0
Boxer/Beagle,Tan/White,Spayed Female,2,1
Pit Bull Mix,Blue/White,Neutered Male,2,1
Labrador Retriever Mix,Black/White,Neutered Male,1,1
Queensland Heeler,Black/White,Spayed Female,0,1
Pit Bull Mix,Brown Brindle,Spayed Female,0,1
West Highland Mix,White/Cream,Neutered Male,2,0
Labrador Retriever Mix,Black/White,Spayed Female,0,1
German Shepherd Mix,Brown/Black,Spayed Female,1,1
Basset Hound/Chinese Sharpei,Tan,Intact Female,0,0
Chihuahua Shorthair Mix,Black/White,Neutered Male,2,1
German Shepherd Mix,Black/Brown Brindle,Spayed Female,0,1
Australian Cattle Dog Mix,Red Merle/White,Neutered Male,1,1
Beagle/Pointer,Black/White,Intact Female,2,1
St. Bernard Rough Coat Mix,White/Brown Brindle,Intact Male,0,0
Border Terrier Mix,Tan/White,Neutered Male,1,1
Maltese Mix,White,Spayed Female,10,1
Labrador Retriever/Pit Bull,Tricolor,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Pit Bull Mix,White/Brown,Spayed Female,4,1
Labrador Retriever Mix,Brown/White,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Neutered Male,1,1
Schnauzer Giant Mix,Black/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Brown/White,Spayed Female,8,1
Australian Cattle Dog Mix,Brown Merle,Neutered Male,1,1
Border Collie Mix,Black/White,Spayed Female,0,1
Greyhound Mix,Brown Brindle,Spayed Female,5,1
Border Collie,Red/White,Spayed Female,1,1
Pointer/Labrador Retriever,White,Unknown,0,0
Chihuahua Shorthair/Schipperke,Black,Spayed Female,0,1
Yorkshire Terrier,Brown/Black,Intact Male,8,0
Miniature Poodle Mix,White,Neutered Male,0,1
Chihuahua Shorthair,Tan,Neutered Male,7,1
Chihuahua Shorthair Mix,Black/Brown,Spayed Female,0,1
Harrier Mix,Tricolor,Spayed Female,12,1
Chihuahua Shorthair,Brown/Tricolor,Intact Female,4,0
Beagle,Black/Tricolor,Neutered Male,3,1
Pit Bull Mix,Blue/White,Spayed Female,1,0
Labrador Retriever Mix,Brown,Neutered Male,0,1
Pit Bull Mix,Brown/White,Neutered Male,0,1
Chihuahua Shorthair Mix,Black/Brown,Neutered Male,1,1
Cairn Terrier,Brown/Black,Neutered Male,1,0
Australian Cattle Dog/Pug,Black/White,Spayed Female,0,1
Labrador Retriever Mix,Tan,Spayed Female,5,1
Siberian Husky,White,Intact Male,2,1
Black/Tan Hound Mix,Black/Brown,Neutered Male,0,1
Labrador Retriever Mix,Tan/White,Spayed Female,1,1
Rat Terrier/Chihuahua Shorthair,White,Neutered Male,10,1
Collie Rough/Spanish Water Dog,Brown,Intact Male,0,0
Australian Cattle Dog,Blue Tick/Tricolor,Neutered Male,1,1
Doberman Pinsch Mix,Chocolate/Tan,Neutered Male,0,1
Redbone Hound/Labrador Retriever,Tan/White,Intact Female,0,0
Rottweiler Mix,Black/Brown,Neutered Male,3,1
German Shepherd/Chow Chow,Brown,Intact Male,2,0
Pointer/Pit Bull,White/Black,Spayed Female,2,1
Chihuahua Shorthair,Black/White,Neutered Male,4,1
German Shepherd Mix,Tan/Black,Intact Female,0,0
Bearded Collie,Brown/Black,Spayed Female,0,1
German Shepherd Mix,Brown/Black,Neutered Male,0,1
Labrador Retriever/Australian Cattle Dog,Blue Tick,Intact Female,0,0
Chihuahua Shorthair Mix,White/Brown,Neutered Male,1,1
Basenji/Chihuahua Shorthair,Red/White,Intact Male,1,0
Pit Bull Mix,Tricolor,Neutered Male,5,1
German Shepherd,Black/Brown,Spayed Female,1,1
Labrador Retriever,White,Spayed Female,2,1
Bulldog Mix,White,Spayed Female,6,1
Pointer Mix,White/Brown Brindle,Neutered Male,0,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,0,1
Yorkshire Terrier Mix,Brown/Black,Spayed Female,0,1
Pekingese,White,Intact Male,1,0
Boston Terrier/Rat Terrier,Brown Brindle/White,Neutered Male,4,1
Golden Retriever,Gold/White,Spayed Female,10,0
Pit Bull/Chinese Sharpei,Tan/White,Intact Male,5,0
Siberian Husky,Black/White,Spayed Female,1,1
Labrador Retriever Mix,Brown,Intact Female,1,0
Great Pyrenees Mix,White,Neutered Male,5,1
Boxer Mix,Tan/White,Spayed Female,5,1
Chihuahua Shorthair Mix,Brown/White,Neutered Male,2,1
Pit Bull/Chihuahua Shorthair,Tan/Black,Neutered Male,1,0
Catahoula Mix,Tan/White,Intact Female,0,0
Pit Bull Mix,White/Brown,Intact Female,8,0
Catahoula,Brown/White,Spayed Female,2,1
Great Pyrenees Mix,White,Intact Male,0,0
Border Collie/Great Pyrenees,White/Tan,Neutered Male,0,1
Chihuahua Shorthair Mix,Chocolate,Spayed Female,0,1
Labrador Retriever Mix,Brown,Neutered Male,10,0
Chihuahua Shorthair Mix,Yellow,Neutered Male,5,1
Pit Bull Mix,Blue,Spayed Female,2,0
German Shepherd,Black/Brown,Neutered Male,5,0
Great Pyrenees,White,Spayed Female,1,1
Chihuahua Shorthair Mix,Brown/Black,Spayed Female,0,1
St. Bernard Smooth Coat,White/Tricolor,Spayed Female,0,1
Chihuahua Shorthair Mix,Sable/White,Spayed Female,2,1
Pit Bull Mix,White/Black,Intact Female,0,0
Pit Bull,Black/White,Spayed Female,3,0
Chihuahua Shorthair Mix,Brown,Neutered Male,1,0
Labrador Retriever Mix,Black,Spayed Female,3,1
Labrador Retriever Mix,Black/White,Neutered Male,1,1
Belgian Malinois Mix,Black/Brown,Neutered Male,2,1
Pit Bull Mix,White/Black,Spayed Female,1,1
Labrador Retriever,Brown,Neutered Male,2,0
Catahoula Mix,Brown/Black,Spayed Female,0,0
Dachshund/Chihuahua Shorthair,Tan/White,Neutered Male,1,1
Collie Smooth/Catahoula,Tan/White,Neutered Male,1,1
American Bulldog Mix,White/Blue,Spayed Female,0,1
Catahoula/Labrador Retriever,Blue Merle,Neutered Male,5,0
Pit Bull Mix,White,Spayed Female,6,0
German Shepherd Mix,Tan/Black,Intact Male,0,0
Australian Cattle Dog Mix,Red/White,Spayed Female,3,1
Yorkshire Terrier Mix,Cream,Neutered Male,5,1
Chihuahua Shorthair Mix,Brown,Neutered Male,1,1
Border Terrier Mix,Black/Tan,Spayed Female,0,1
Staffordshire Mix,White/Tan,Neutered Male,0,1
Chihuahua Shorthair Mix,Tan/White,Spayed Female,2,1
German Shepherd Mix,Sable,Neutered Male,1,0
German Shepherd Mix,Tan/Black,Neutered Male,1,1
Chihuahua Shorthair,Tan,Intact Male,6,0
Siberian Husky,Red/White,Intact Female,0,0
Pit Bull,Gray/White,Spayed Female,1,1
Labrador Retriever Mix,Tricolor,Neutered Male,0,1
Labrador Retriever,Brown/White,Neutered Male,0,1
Siberian Husky/Pit Bull,Brown/White,Intact Male,0,0
Miniature Schnauzer Mix,Gray,Spayed Female,2,1
Pit Bull Mix,Brown Brindle/White,Spayed Female,2,1
Labrador Retriever Mix,Yellow,Spayed Female,1,1
Bluetick Hound Mix,Black/White,Neutered Male,0,1
Labrador Retriever Mix,White/Black,Neutered Male,12,0
Miniature Poodle/Miniature Schnauzer,Black/White,Neutered Male,2,1
Australian Cattle Dog Mix,White/Black,Neutered Male,0,1
Cairn Terrier/Chihuahua Shorthair,Tan/White,Neutered Male,0,1
Doberman Pinsch,Black/Tan,Intact Female,0,0
Feist Mix,Tan/White,Intact Female,1,0
Dachshund/Chihuahua Shorthair,Black/Brown,Spayed Female,2,1
Cairn Terrier Mix,Tan/White,Intact Male,1,0
Labrador Retriever/Australian Shepherd,Black/White,Spayed Female,0,1
Weimaraner/Vizsla,Chocolate,Intact Female,0,0
Siberian Husky/Pit Bull,Brown/White,Spayed Female,0,1
Chihuahua Shorthair Mix,Brown,Spayed Female,1,0
Australian Shepherd Mix,Black/White,Spayed Female,3,0
Australian Shepherd Mix,Tricolor,Spayed Female,4,1
Chihuahua Shorthair Mix,Fawn/White,Neutered Male,1,0
Plott Hound Mix,Black,Intact Female,0,0
Black Mouth Cur Mix,Tan,Spayed Female,2,1
Bloodhound/German Shepherd,Red/Black,Spayed Female,5,1
Jack Russell Terrier/Chihuahua Shorthair,White/Brown,Spayed Female,1,1
Great Pyrenees Mix,White,Neutered Male,2,0
Labrador Retriever,Black/White,Neutered Male,0,1
Standard Schnauzer Mix,Black,Neutered Male,3,1
Shih Tzu Mix,Black/White,Spayed Female,6,0
Whippet Mix,Brown Brindle/White,Spayed Female,0,1
Chihuahua Shorthair Mix,White/Tan,Spayed Female,0,1
Finnish Spitz Mix,Black,Neutered Male,5,1
Maltese,White,Spayed Female,7,0
Australian Cattle Dog,Blue Tick,Neutered Male,2,1
Miniature Pinscher,Black/Tan,Neutered Male,1,1
Yorkshire Terrier/Standard Poodle,White,Neutered Male,2,1
Alaskan Husky Mix,Black/White,Spayed Female,3,0
Labrador Retriever,Black,Spayed Female,2,1
Chihuahua Shorthair Mix,Tan,Neutered Male,0,1
Labrador Retriever Mix,Chocolate,Neutered Male,14,0
Parson Russell Terrier Mix,Tricolor,Spayed Female,6,0
Newfoundland Mix,White/Black,Neutered Male,0,1
Dachshund Wirehair/Miniature Poodle,Black/Tan,Neutered Male,0,1
Labrador Retriever,Tan,Neutered Male,4,0
Dachshund Mix,Blue Merle,Intact Female,0,0
Pit Bull Mix,Blue/White,Intact Male,2,0
Labrador Retriever Mix,Yellow,Spayed Female,0,1
German Shepherd Mix,Tan/Black,Spayed Female,0,0
Shih Tzu Mix,Tan,Intact Male,2,0
Dachshund Mix,Black/Brown,Spayed Female,11,0
Chihuahua Shorthair Mix,Black,Neutered Male,0,1
German Shorthair Pointer Mix,Black/Blue Merle,Neutered Male,2,0
Miniature Poodle Mix,White,Spayed Female,5,1
Queensland Heeler Mix,Red/Red Tick,Spayed Female,0,1
Rat Terrier Mix,White/Black,Spayed Female,8,1
Jack Russell Terrier Mix,Black/White,Neutered Male,0,0
Pit Bull Mix,Brown/White,Intact Male,0,0
Pit Bull Mix,Tan/White,Spayed Female,3,1
Lhasa Apso/Havanese,White,Neutered Male,4,0
Dachshund Wirehair Mix,Black/White,Spayed Female,1,1
Chihuahua Shorthair Mix,Tan/White,Spayed Female,1,1
Basenji Mix,Tan/White,Neutered Male,2,1
Beagle Mix,Black/White,Spayed Female,2,1
Anatol Shepherd Mix,Black/White,Neutered Male,0,0
Great Pyrenees/German Shepherd,Cream/Black,Intact Female,0,0
Pit Bull Mix,White,Neutered Male,2,1
Labrador Retriever/Jack Russell Terrier,Black,Neutered Male,2,1
Plott Hound Mix,White/Brown Brindle,Spayed Female,0,1
Plott Hound Mix,Black Brindle/White,Spayed Female,1,1
Anatol Shepherd Mix,Brown/Black,Neutered Male,0,1
Rottweiler Mix,Black/Brown,Spayed Female,0,1
Great Pyrenees Mix,White,Neutered Male,0,1
Pit Bull Mix,Tricolor,Neutered Male,0,1
Pit Bull Mix,Blue/Tricolor,Intact Female,6,0
Pharaoh Hound Mix,Tricolor,Neutered Male,0,1
Yorkshire Terrier Mix,Blue/Tan,Neutered Male,7,1
Chow Chow Mix,White/Black,Unknown,0,0
Miniature Poodle,White,Neutered Male,1,0
Border Terrier/Chihuahua Shorthair,Buff,Neutered Male,1,1
Labrador Retriever Mix,Black/White,Spayed Female,1,1
Miniature Schnauzer Mix,Black,Spayed Female,0,1
Catahoula Mix,Blue Merle/White,Neutered Male,6,1
Beagle/Whippet,Brown,Spayed Female,0,1
Golden Retriever/Pembroke Welsh Corgi,Yellow,Neutered Male,3,1
Pit Bull Mix,Black/White,Neutered Male,0,1
Pit Bull Mix,Brown Brindle,Neutered Male,1,1
Chihuahua Shorthair Mix,Black/Tan,Spayed Female,2,0
Labrador Retriever Mix,Cream/White,Neutered Male,2,1
Border Collie Mix,Black/White,Neutered Male,0,1
Beagle Mix,Tan/Black,Neutered Male,7,0
Chihuahua Shorthair,Tan/White,Intact Male,2,0
Chihuahua Shorthair/Dachshund,Chocolate/White,Neutered Male,0,1
Blue Lacy/Labrador Retriever,Blue/White,Spayed Female,1,1
Schipperke/Chihuahua Shorthair,Red,Neutered Male,2,0
Pit Bull Mix,Blue/White,Neutered Male,2,1
Jack Russell Terrier Mix,White/Tan,Spayed Female,1,1
English Pointer Mix,Red/White,Spayed Female,1,1
Dachshund Mix,Red/Black,Neutered Male,6,0
Australian Cattle Dog/German Shepherd,Black/Tan,Spayed Female,2,0
Gordon Setter Mix,Black/Tan,Neutered Male,1,1
Border Collie Mix,White/Black,Spayed Female,0,1
Beagle/German Shepherd,Tricolor,Spayed Female,0,1
Border Collie Mix,Black,Spayed Female,1,1
Miniature Pinscher Mix,Black/Brown,Spayed Female,0,1
Pit Bull Mix,Black/White,Neutered Male,1,1
Rat Terrier Mix,White/Black,Spayed Female,0,1
Rottweiler Mix,Black/Tan,Neutered Male,1,1
Maltese Mix,White,Neutered Male,8,1
Pit Bull Mix,Red/White,Spayed Female,3,0
Australian Cattle Dog Mix,Red/White,Neutered Male,4,1
Dachshund Mix,Red,Neutered Male,2,0
Border Collie/Australian Shepherd,Black/White,Neutered Male,10,1
Chihuahua Shorthair Mix,Tan/White,Intact Male,15,0
Labrador Retriever Mix,Black/Tan,Spayed Female,1,1
Australian Cattle Dog Mix,Brown Merle,Intact Male,0,0
Pit Bull Mix,Buff/White,Intact Male,2,0
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Border Collie Mix,Black/White,Neutered Male,1,1
Boxer,Tan/White,Spayed Female,1,1
Golden Retriever,Red,Spayed Female,2,0
Labrador Retriever Mix,Brown/White,Intact Male,0,0
Pit Bull Mix,Brown Brindle,Neutered Male,2,0
Boxer Mix,Brown/Black,Neutered Male,0,1
Miniature Poodle Mix,White/Apricot,Spayed Female,2,1
Boxer Mix,Tan/White,Spayed Female,1,1
Australian Cattle Dog Mix,Black/White,Spayed Female,2,0
American Staffordshire Terrier,Black/White,Intact Male,0,0
Labrador Retriever/Australian Cattle Dog,Black/White,Neutered Male,1,1
Boxer Mix,Brown/White,Spayed Female,0,0
Chihuahua Shorthair Mix,Tan/White,Neutered Male,5,1
Labrador Retriever,Chocolate/White,Spayed Female,13,1
Chihuahua Shorthair Mix,White/Black,Intact Female,0,0
Chihuahua Shorthair Mix,Black,Neutered Male,0,1
Dachshund Wirehair Mix,Brown Brindle/White,Spayed Female,3,1
Pit Bull Mix,Tan,Spayed Female,2,1
Soft Coated Wheaten Terrier/Miniature Poodle,Cream,Neutered Male,6,1
Miniature Schnauzer Mix,White,Spayed Female,4,1
Australian Cattle Dog Mix,Red Merle/White,Spayed Female,3,1
Australian Shepherd/Chow Chow,Brown/Black,Neutered Male,2,1
Pit Bull Mix,White/Tan,Neutered Male,0,0
Pointer/Pit Bull,Brown,Spayed Female,2,1
Australian Cattle Dog Mix,Black/White,Neutered Male,3,1
Boxer Mix,Black/White,Spayed Female,0,1
English Bulldog/Beagle,Brown/Black,Neutered Male,8,1
Chihuahua Shorthair Mix,Buff,Spayed Female,2,0
Pit Bull Mix,Brown Brindle,Spayed Female,1,0
Chihuahua Shorthair Mix,Tan,Neutered Male,1,1
Chihuahua Shorthair,Red,Intact Male,14,0
Siberian Husky,Black/White,Neutered Male,0,1
Australian Cattle Dog Mix,Red Merle,Spayed Female,4,0
Chihuahua Shorthair Mix,Black/Tan,Spayed Female,0,1
German Shepherd Mix,Black/Brown,Neutered Male,2,1
Dachshund Mix,Sable/Tan,Neutered Male,1,0
Pit Bull/Pointer,Brown Brindle/White,Spayed Female,2,1
Miniature Poodle Mix,White,Neutered Male,1,1
Labrador Retriever Mix,Black,Intact Male,13,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,2,0
Border Collie/Labrador Retriever,Tan/White,Neutered Male,0,1
Dachshund Longhair/Cardigan Welsh Corgi,Red,Spayed Female,4,1
Labrador Retriever Mix,Brown/White,Spayed Female,0,1
Siberian Husky Mix,Black/White,Spayed Female,2,1
Pit Bull Mix,Chocolate/White,Spayed Female,7,1
Labrador Retriever Mix,Yellow/White,Neutered Male,2,0
Pit Bull Mix,Red/White,Neutered Male,3,1
Beagle Mix,Tricolor,Intact Female,3,1
Labrador Retriever/Australian Cattle Dog,White/Tan,Spayed Female,4,1
Yorkshire Terrier Mix,White/Tan,Neutered Male,3,1
German Shepherd,Black/Brown,Neutered Male,11,1
Bluetick Hound Mix,Tricolor,Intact Male,1,0
Beagle Mix,Tricolor,Intact Female,8,0
Labrador Retriever Mix,Tan/White,Spayed Female,1,1
Labrador Retriever Mix,Black/White,Neutered Male,0,1
Miniature Poodle Mix,White,Spayed Female,1,1
Pit Bull Mix,White/Blue,Neutered Male,2,1
Alaskan Husky/German Shepherd,Brown/Tricolor,Neutered Male,1,1
Labrador Retriever Mix,Brown/White,Spayed Female,0,1
German Shepherd,Tan/Black,Spayed Female,0,1
Chihuahua Shorthair,White/Brown,Neutered Male,4,1
Chihuahua Shorthair,Red,Intact Female,0,0
Beagle Mix,Black/Tan,Neutered Male,1,1
Chihuahua Shorthair Mix,White/Black,Intact Female,12,1
Chihuahua Shorthair Mix,Red/White,Neutered Male,7,1
Shetland Sheepdog Mix,Tricolor,Spayed Female,1,0
Pit Bull Mix,Black Brindle/White,Intact Male,2,0
Chihuahua Shorthair Mix,Black/White,Intact Male,0,0
Pit Bull/German Shepherd,Brown Brindle,Neutered Male,1,1
German Shepherd,Black/Tan,Intact Male,0,0
Australian Kelpie Mix,Black/Brown,Spayed Female,1,1
Dachshund/Chihuahua Shorthair,Red,Neutered Male,2,1
Pit Bull Mix,Brown/White,Spayed Female,2,1
Labrador Retriever Mix,White/Brown,Neutered Male,0,1
Yorkshire Terrier Mix,Brown/Black,Spayed Female,2,1
Labrador Retriever Mix,White,Neutered Male,2,0
Rottweiler Mix,Black/Brown,Spayed Female,10,0
Rottweiler,Black/Brown,Spayed Female,4,1
German Shepherd Mix,Tan/White,Neutered Male,0,1
Pit Bull Mix,Blue,Neutered Male,3,1
Bichon Frise Mix,White,Spayed Female,2,0
Border Terrier/Chihuahua Shorthair,Black/Tan,Spayed Female,3,1
Pit Bull,Blue/White,Neutered Male,2,1
Australian Cattle Dog/Patterdale Terr,Black/Blue Tick,Neutered Male,1,1
Labrador Retriever,Yellow,Spayed Female,1,1
Labrador Retriever/Pit Bull,Brown/White,Neutered Male,1,1
Pit Bull/Labrador Retriever,Chocolate/White,Neutered Male,4,1
Labrador Retriever/Boxer,White/Cream,Neutered Male,0,1
Great Dane,Brown/White,Intact Female,0,0
Labrador Retriever Mix,Brown,Unknown,0,0
Beagle Mix,Tricolor,Spayed Female,10,1
Jack Russell Terrier/Pit Bull,White/Brown,Neutered Male,1,0
Australian Cattle Dog Mix,White/Black,Neutered Male,0,1
Akita/Australian Cattle Dog,Brown Brindle,Neutered Male,2,1
German Shepherd Mix,Brown/White,Spayed Female,0,1
Labrador Retriever Mix,Cream/Tan,Spayed Female,1,1
Dachshund/Chihuahua Shorthair,Tan/White,Spayed Female,0,1
Wire Hair Fox Terrier Mix,Tan/White,Spayed Female,1,1
Dachshund/Chihuahua Shorthair,Tan,Spayed Female,2,0
Border Collie Mix,White/Black,Spayed Female,0,1
Cairn Terrier Mix,Cream,Neutered Male,3,1
Pit Bull Mix,Tan/White,Intact Male,0,0
Treeing Walker Coonhound Mix,Tricolor,Spayed Female,3,1
Dutch Shepherd,Brown Brindle/White,Spayed Female,0,1
German Shepherd/Labrador Retriever,Black/Tan,Neutered Male,2,1
Labrador Retriever,Tan,Intact Female,0,0
Pug Mix,Tan/Black,Neutered Male,1,1
Australian Cattle Dog/German Shepherd,Tan/White,Spayed Female,0,1
Labrador Retriever Mix,Black/White,Spayed Female,2,1
Beagle Mix,Black/White,Spayed Female,0,1
Labrador Retriever/Australian Cattle Dog,Tan/White,Spayed Female,1,1
Labrador Retriever Mix,Yellow/White,Neutered Male,0,1
Maltese/Miniature Poodle,Tan,Intact Female,8,0
Catahoula Mix,Sable,Spayed Female,0,0
Pit Bull Mix,Brown Brindle/White,Neutered Male,6,1
Pit Bull Mix,Tan/White,Spayed Female,0,1
Pit Bull Mix,Brown Brindle/White,Spayed Female,5,0
Chihuahua Shorthair Mix,Tan/Black,Neutered Male,1,1
Siberian Husky Mix,Gray/Black,Intact Male,0,0
Labrador Retriever Mix,Black/White,Spayed Female,0,1
Border Collie Mix,Tan/White,Spayed Female,0,0
Staffordshire,Tan/White,Intact Male,2,0
Miniature Poodle Mix,White,Neutered Male,2,1
Pit Bull Mix,Fawn/White,Spayed Female,0,1
Labrador Retriever Mix,Brown Brindle,Spayed Female,0,1
Pit Bull Mix,Black/White,Neutered Male,0,1
Labrador Retriever Mix,Black/White,Spayed Female,1,1
Chihuahua Shorthair Mix,Tricolor,Neutered Male,2,0
Pit Bull Mix,Brown/White,Neutered Male,2,1
Shih Tzu Mix,White/Brown,Intact Male,7,0
Jack Russell Terrier Mix,White/Brown,Spayed Female,2,1
Pit Bull Mix,Chocolate/White,Spayed Female,0,1
Pit Bull Mix,Blue/White,Spayed Female,3,1
Jack Russell Terrier Mix,White/Black,Neutered Male,5,1
Labrador Retriever Mix,Buff,Neutered Male,0,1
American Pit Bull Terrier Mix,Brown Brindle,Neutered Male,1,1
Maltese,White,Neutered Male,5,1
Catahoula Mix,Fawn/White,Neutered Male,0,1
Black Mouth Cur Mix,Tan/Black,Neutered Male,2,1
Chihuahua Shorthair Mix,Brown/Black,Intact Female,0,0
Chihuahua Shorthair Mix,Brown/White,Intact Male,2,1
Cane Corso Mix,Blue,Neutered Male,4,0
Pit Bull Mix,Brown Brindle/White,Spayed Female,2,1
Shih Tzu Mix,White/Brown Brindle,Spayed Female,14,0
Rottweiler,Black/Brown,Spayed Female,0,1
Anatol Shepherd Mix,Brown,Neutered Male,1,1
Miniature Schnauzer/Miniature Poodle,White,Neutered Male,2,1
Australian Cattle Dog Mix,Blue Merle,Spayed Female,2,1
Dachshund Wirehair Mix,Tan,Neutered Male,0,1
Labrador Retriever Mix,Black,Spayed Female,3,1
Border Collie Mix,Black,Neutered Male,0,1
Boxer Mix,Tan/White,Neutered Male,2,0
Chihuahua Shorthair,Brown/White,Spayed Female,2,1
Pit Bull Mix,White,Spayed Female,1,1
Dachshund/Chihuahua Shorthair,Tricolor,Intact Female,0,0
Miniature Poodle Mix,Tan,Spayed Female,2,0
Chihuahua Shorthair Mix,Brown/Tan,Neutered Male,1,1
Pit Bull Mix,Brown Brindle,Unknown,0,0
Chihuahua Longhair Mix,Red,Spayed Female,0,1
Australian Kelpie Mix,Black/White,Spayed Female,2,1
Rat Terrier Mix,Tricolor,Neutered Male,7,1
Labrador Retriever/Border Collie,Black/White,Spayed Female,0,0
Pit Bull Mix,Red/White,Spayed Female,2,0
Dachshund Mix,Black,Spayed Female,7,1
Maltese Mix,White,Spayed Female,10,1
Border Collie,Blue Merle,Intact Female,1,0
Pit Bull Mix,Black Brindle/White,Spayed Female,3,1
Chinese Crested Mix,Gray,Neutered Male,14,0
Australian Cattle Dog,Black/Gray,Neutered Male,2,1
Chihuahua Shorthair/Manchester Terrier,Tricolor,Spayed Female,7,1
Pit Bull Mix,Black/White,Intact Female,3,0
Doberman Pinsch Mix,Chocolate,Spayed Female,1,1
Chihuahua Shorthair Mix,Tricolor,Spayed Female,3,1
Pit Bull Mix,Brown Tiger,Neutered Male,2,1
Labrador Retriever Mix,White,Spayed Female,0,1
Anatol Shepherd Mix,Brown/White,Neutered Male,0,1
Pit Bull Mix,White/Black,Intact Male,1,0
Pit Bull Mix,White/Blue,Intact Female,1,0
Chihuahua Shorthair Mix,White/Brown,Spayed Female,0,1
Jack Russell Terrier/Dachshund,Brown Brindle/White,Intact Male,0,0
Chihuahua Shorthair Mix,Brown Brindle,Spayed Female,2,1
Belgian Malinois Mix,Tan/Black,Spayed Female,0,0
Pit Bull Mix,Brown/White,Neutered Male,1,1
Staffordshire Mix,Brown Brindle/White,Neutered Male,1,0
Pointer Mix,White/Brown,Intact Female,0,0
Beagle/Pit Bull,Tan/White,Spayed Female,0,1
German Shepherd Mix,Brown,Intact Male,10,0
Chihuahua Shorthair/Beagle,Buff/White,Neutered Male,0,1
English Bulldog Mix,White/Brown,Neutered Male,6,1
American Bulldog,White/Black,Intact Female,2,0
Chihuahua Shorthair Mix,Black/White,Neutered Male,1,0
Australian Cattle Dog Mix,Black/Blue Tick,Intact Male,12,0
Chihuahua Shorthair Mix,Black/Brown,Neutered Male,2,0
Chihuahua Longhair Mix,Brown/White,Neutered Male,2,1
Pit Bull Mix,Brown Brindle/White,Neutered Male,3,1
Australian Kelpie Mix,Black,Intact Female,2,0
Catahoula Mix,Black/White,Neutered Male,13,0
Pit Bull Mix,Buff/White,Neutered Male,0,1
Weimaraner Mix,Blue,Neutered Male,1,1
Siberian Husky Mix,Black/White,Spayed Female,0,1
Chihuahua Shorthair Mix,Brown,Intact Female,0,0
German Shepherd Mix,Brown/Black,Spayed Female,1,1
Chihuahua Shorthair Mix,Tan,Intact Female,11,0
Labrador Retriever Mix,Black,Spayed Female,4,1
Lhasa Apso Mix,Gray/White,Intact Male,2,0
Lhasa Apso Mix,White/Black,Neutered Male,3,0
Alaskan Malamute/German Shepherd,Gray/Cream,Neutered Male,4,1
German Shepherd Mix,Sable,Spayed Female,0,1
